trun,c,value,scenario
2015,ksa,234.1159782409668,A
2015,uae,69.11360549926758,A
2015,qat,23.717954635620117,A
2015,kuw,39.0295524597168,A
2015,bah,66.53519248962402,A
2015,omn,19.87840461730957,A
2016,ksa,242.24397468566895,A
2016,uae,73.77470779418945,A
2016,qat,25.4510440826416,A
2016,kuw,40.99080848693848,A
2016,bah,7.1768798828125,A
2016,omn,19.933191299438477,A
2017,ksa,242.121244430542,A
2017,uae,76.2204704284668,A
2017,qat,25.920942306518555,A
2017,kuw,42.68790245056152,A
2017,bah,7.547691345214844,A
2017,omn,20.512170791625977,A
2018,ksa,255.55195236206055,A
2018,uae,79.05137634277344,A
2018,qat,28.230104446411133,A
2018,kuw,45.42554473876953,A
2018,bah,8.00143051147461,A
2018,omn,20.770776748657227,A
2019,ksa,269.41939544677734,A
2019,uae,81.85580062866211,A
2019,qat,29.758068084716797,A
2019,kuw,47.814945220947266,A
2019,bah,8.321897506713867,A
2019,omn,20.309539794921875,A
2020,ksa,276.9916591644287,A
2020,uae,85.70919036865234,A
2020,qat,30.534561157226562,A
2020,kuw,51.274654388427734,A
2020,bah,8.578180313110352,A
2020,omn,21.373376846313477,A
2021,ksa,283.4696407318115,A
2021,uae,74.38351631164551,A
2021,qat,32.15561294555664,A
2021,kuw,39.46096229553223,A
2021,bah,8.8985595703125,A
2021,omn,22.66533660888672,A
2022,ksa,292.4361763000488,A
2022,uae,85.91091728210449,A
2022,qat,33.11503219604492,A
2022,kuw,41.01666831970215,A
2022,bah,9.220296859741211,A
2022,omn,22.366239547729492,A
2023,ksa,307.22225761413574,A
2023,uae,91.94086265563965,A
2023,qat,34.52226448059082,A
2023,kuw,43.362321853637695,A
2023,bah,9.603683471679688,A
2023,omn,21.686065673828125,A
2024,ksa,322.32244300842285,A
2024,uae,100.89938545227051,A
2024,qat,35.918800354003906,A
2024,kuw,44.786354064941406,A
2024,bah,9.918842315673828,A
2024,omn,22.977807998657227,A
2025,ksa,337.72897720336914,A
2025,uae,103.4660873413086,A
2025,qat,37.13249969482422,A
2025,kuw,46.65599060058594,A
2025,bah,9.996427536010742,A
2025,omn,24.52895736694336,A
2026,ksa,353.9542484283447,A
2026,uae,109.32479667663574,A
2026,qat,38.44122123718262,A
2026,kuw,47.6427059173584,A
2026,bah,10.628971099853516,A
2026,omn,25.82041358947754,A
2027,ksa,370.9715042114258,A
2027,uae,109.53920936584473,A
2027,qat,40.02561950683594,A
2027,kuw,49.78325653076172,A
2027,bah,10.701314926147461,A
2027,omn,27.370643615722656,A
2028,ksa,388.3541088104248,A
2028,uae,111.24432754516602,A
2028,qat,41.862478256225586,A
2028,kuw,51.08736991882324,A
2028,bah,11.461893081665039,A
2028,omn,29.15548324584961,A
2029,ksa,406.6113033294678,A
2029,uae,117.52198600769043,A
2029,qat,43.47943878173828,A
2029,kuw,53.52643966674805,A
2029,bah,11.846269607543945,A
2029,omn,30.348766326904297,A
2030,ksa,420.31373405456543,A
2030,uae,124.15869522094727,A
2030,qat,45.0350456237793,A
2030,kuw,55.24551963806152,A
2030,bah,12.017932891845703,A
2030,omn,31.19817543029785,A
2015,ksa,234.1159782409668,B
2015,uae,69.11360549926758,B
2015,qat,23.717954635620117,B
2015,kuw,39.0295524597168,B
2015,bah,66.53519248962402,B
2015,omn,19.87840461730957,B
2016,ksa,242.24397468566895,B
2016,uae,73.77470779418945,B
2016,qat,25.4510440826416,B
2016,kuw,40.99080848693848,B
2016,bah,7.1768798828125,B
2016,omn,19.933191299438477,B
2017,ksa,242.121244430542,B
2017,uae,76.2204704284668,B
2017,qat,25.920942306518555,B
2017,kuw,42.68790245056152,B
2017,bah,7.547691345214844,B
2017,omn,20.512170791625977,B
2018,ksa,255.55195236206055,B
2018,uae,79.05137634277344,B
2018,qat,28.230104446411133,B
2018,kuw,45.42554473876953,B
2018,bah,8.00143051147461,B
2018,omn,20.770776748657227,B
2019,ksa,244.25688552856445,B
2019,uae,70.32161331176758,B
2019,qat,23.117595672607422,B
2019,kuw,47.814945220947266,B
2019,bah,8.009927749633789,B
2019,omn,16.480079650878906,B
2020,ksa,252.47367095947266,B
2020,uae,73.02992820739746,B
2020,qat,23.593786239624023,B
2020,kuw,51.274654388427734,B
2020,bah,8.266250610351562,B
2020,omn,16.885311126708984,B
2021,ksa,258.08439445495605,B
2021,uae,57.326887130737305,B
2021,qat,23.40735626220703,B
2021,kuw,36.42216110229492,B
2021,bah,8.457326889038086,B
2021,omn,17.55621337890625,B
2022,ksa,266.90342903137207,B
2022,uae,63.2044620513916,B
2022,qat,23.357603073120117,B
2022,kuw,38.34966468811035,B
2022,bah,8.777729034423828,B
2022,omn,18.17905044555664,B
2023,ksa,276.2093868255615,B
2023,uae,66.06661415100098,B
2023,qat,24.353363037109375,B
2023,kuw,40.35175323486328,B
2023,bah,9.162214279174805,B
2023,omn,18.933000564575195,B
2024,ksa,294.46030616760254,B
2024,uae,72.69450187683105,B
2024,qat,25.408605575561523,B
2024,kuw,42.1099910736084,B
2024,bah,9.482616424560547,B
2024,omn,19.607791900634766,B
2025,ksa,307.17944145202637,B
2025,uae,68.10128402709961,B
2025,qat,26.351173400878906,B
2025,kuw,33.95840072631836,B
2025,bah,9.867101669311523,B
2025,omn,20.415748596191406,B
2026,ksa,321.6159038543701,B
2026,uae,71.19451713562012,B
2026,qat,27.46993637084961,B
2026,kuw,35.995798110961914,B
2026,bah,10.187503814697266,B
2026,omn,21.086849212646484,B
2027,ksa,337.0697078704834,B
2027,uae,73.25478744506836,B
2027,qat,28.72317123413086,B
2027,kuw,36.0807991027832,B
2027,bah,10.571989059448242,B
2027,omn,21.88907814025879,B
2028,ksa,352.08055877685547,B
2028,uae,76.3813362121582,B
2028,qat,29.89107894897461,B
2028,kuw,38.20319938659668,B
2028,bah,11.020553588867188,B
2028,omn,22.834091186523438,B
2029,ksa,365.8975658416748,B
2029,uae,79.14516258239746,B
2029,qat,31.207120895385742,B
2029,kuw,38.20319938659668,B
2029,bah,11.405036926269531,B
2029,omn,23.664302825927734,B
2030,ksa,355.79962158203125,B
2030,uae,81.75153160095215,B
2030,qat,32.17801475524902,B
2030,kuw,40.325599670410156,B
2030,bah,11.853601455688477,B
2030,omn,24.632884979248047,B
2015,ksa,234.1159782409668,C
2015,uae,69.11360549926758,C
2015,qat,23.717954635620117,C
2015,kuw,39.0295524597168,C
2015,bah,66.53519248962402,C
2015,omn,19.87840461730957,C
2016,ksa,242.24397468566895,C
2016,uae,73.77470779418945,C
2016,qat,25.4510440826416,C
2016,kuw,40.99080848693848,C
2016,bah,7.1768798828125,C
2016,omn,19.933191299438477,C
2017,ksa,242.121244430542,C
2017,uae,76.2204704284668,C
2017,qat,25.920942306518555,C
2017,kuw,42.68790245056152,C
2017,bah,7.547691345214844,C
2017,omn,20.512170791625977,C
2018,ksa,255.55195236206055,C
2018,uae,79.05137634277344,C
2018,qat,28.230104446411133,C
2018,kuw,45.42554473876953,C
2018,bah,8.00143051147461,C
2018,omn,20.770776748657227,C
2019,ksa,294.8003902435303,C
2019,uae,99.88021850585938,C
2019,qat,27.648469924926758,C
2019,kuw,53.88401985168457,C
2019,bah,11.29604721069336,C
2019,omn,23.421789169311523,C
2020,ksa,323.72992515563965,C
2020,uae,101.13664054870605,C
2020,qat,32.54840087890625,C
2020,kuw,56.76991844177246,C
2020,bah,27.95709991455078,C
2020,omn,34.02758026123047,C
2021,ksa,322.5240230560303,C
2021,uae,82.13879776000977,C
2021,qat,32.394453048706055,C
2021,kuw,59.27229309082031,C
2021,bah,26.960647583007812,C
2021,omn,31.39605712890625,C
2022,ksa,333.2845516204834,C
2022,uae,82.22631645202637,C
2022,qat,32.98076248168945,C
2022,kuw,59.338693618774414,C
2022,bah,25.50127410888672,C
2022,omn,33.739877700805664,C
2023,ksa,349.63288497924805,C
2023,uae,84.95907974243164,C
2023,qat,36.332292556762695,C
2023,kuw,62.88601303100586,C
2023,bah,23.276260375976562,C
2023,omn,37.79359436035156,C
2024,ksa,373.18814277648926,C
2024,uae,90.23588943481445,C
2024,qat,40.557220458984375,C
2024,kuw,67.10471725463867,C
2024,bah,27.3824520111084,C
2024,omn,38.00665473937988,C
2025,ksa,390.2184181213379,C
2025,uae,92.46592712402344,C
2025,qat,42.784339904785156,C
2025,kuw,69.76167678833008,C
2025,bah,27.899944305419922,C
2025,omn,38.15511131286621,C
2026,ksa,409.6065902709961,C
2026,uae,101.77740669250488,C
2026,qat,43.66685104370117,C
2026,kuw,73.14655113220215,C
2026,bah,30.236040115356445,C
2026,omn,38.381446838378906,C
2027,ksa,416.24876403808594,C
2027,uae,110.08879661560059,C
2027,qat,45.47584342956543,C
2027,kuw,73.74895286560059,C
2027,bah,34.292335510253906,C
2027,omn,38.86088180541992,C
2028,ksa,410.52664375305176,C
2028,uae,111.39626121520996,C
2028,qat,49.758649826049805,C
2028,kuw,76.74139404296875,C
2028,bah,34.43077087402344,C
2028,omn,39.04048728942871,C
2029,ksa,405.17444038391113,C
2029,uae,122.67604637145996,C
2029,qat,58.29769325256348,C
2029,kuw,78.12860870361328,C
2029,bah,48.46078300476074,C
2029,omn,39.54020118713379,C
2030,ksa,404.17615699768066,C
2030,uae,129.8243465423584,C
2030,qat,61.790117263793945,C
2030,kuw,81.9736213684082,C
2030,bah,58.98788261413574,C
2030,omn,41.79288101196289,C
2015,ksa,234.1159782409668,D
2015,uae,69.11360549926758,D
2015,qat,23.717954635620117,D
2015,kuw,39.0295524597168,D
2015,bah,66.53519248962402,D
2015,omn,19.87840461730957,D
2016,ksa,242.24397468566895,D
2016,uae,73.77470779418945,D
2016,qat,25.4510440826416,D
2016,kuw,40.99080848693848,D
2016,bah,7.1768798828125,D
2016,omn,19.933191299438477,D
2017,ksa,242.121244430542,D
2017,uae,76.2204704284668,D
2017,qat,25.920942306518555,D
2017,kuw,42.68790245056152,D
2017,bah,7.547691345214844,D
2017,omn,20.512170791625977,D
2018,ksa,255.55195236206055,D
2018,uae,79.05137634277344,D
2018,qat,28.230104446411133,D
2018,kuw,45.42554473876953,D
2018,bah,8.00143051147461,D
2018,omn,20.770776748657227,D
2019,ksa,251.88936614990234,D
2019,uae,66.71107864379883,D
2019,qat,22.03904151916504,D
2019,kuw,39.0437126159668,D
2019,bah,5.907527923583984,D
2019,omn,17.711339950561523,D
2020,ksa,260.5488586425781,D
2020,uae,69.23637962341309,D
2020,qat,23.850210189819336,D
2020,kuw,42.43225860595703,D
2020,bah,6.034523010253906,D
2020,omn,18.015897750854492,D
2021,ksa,261.55493354797363,D
2021,uae,59.5493106842041,D
2021,qat,25.000551223754883,D
2021,kuw,31.61214828491211,D
2021,bah,6.354927062988281,D
2021,omn,16.89244270324707,D
2022,ksa,267.7084159851074,D
2022,uae,67.9673080444336,D
2022,qat,25.747024536132812,D
2022,kuw,33.539649963378906,D
2022,bah,6.675329208374023,D
2022,omn,17.461523056030273,D
2023,ksa,276.58543968200684,D
2023,uae,69.65388870239258,D
2023,qat,27.072397232055664,D
2023,kuw,35.54174041748047,D
2023,bah,7.059814453125,D
2023,omn,19.252197265625,D
2024,ksa,292.4791831970215,D
2024,uae,76.5125503540039,D
2024,qat,28.003440856933594,D
2024,kuw,37.299978256225586,D
2024,bah,7.708257675170898,D
2024,omn,20.335742950439453,D
2025,ksa,305.4070339202881,D
2025,uae,72.71755409240723,D
2025,qat,29.055774688720703,D
2025,kuw,33.95840072631836,D
2025,bah,8.223403930664062,D
2025,omn,21.262882232666016,D
2026,ksa,318.2200984954834,D
2026,uae,75.38786125183105,D
2026,qat,30.108078002929688,D
2026,kuw,35.995798110961914,D
2026,bah,9.695169448852539,D
2026,omn,21.927839279174805,D
2027,ksa,334.46642112731934,D
2027,uae,77.68960762023926,D
2027,qat,31.31068992614746,D
2027,kuw,36.0807991027832,D
2027,bah,9.587409973144531,D
2027,omn,22.85558319091797,D
2028,ksa,347.7205219268799,D
2028,uae,80.15183639526367,D
2028,qat,32.521047592163086,D
2028,kuw,38.20319938659668,D
2028,bah,11.991918563842773,D
2028,omn,23.95165252685547,D
2029,ksa,357.36647605895996,D
2029,uae,82.90886306762695,D
2029,qat,33.924333572387695,D
2029,kuw,38.20319938659668,D
2029,bah,13.507436752319336,D
2029,omn,24.62095069885254,D
2030,ksa,344.92581939697266,D
2030,uae,84.84256744384766,D
2030,qat,35.31373977661133,D
2030,kuw,40.325599670410156,D
2030,bah,13.956001281738281,D
2030,omn,25.61201286315918,D
2015,ksa,234.1159782409668,E
2015,uae,69.11360549926758,E
2015,qat,23.717954635620117,E
2015,kuw,39.0295524597168,E
2015,bah,66.53519248962402,E
2015,omn,19.87840461730957,E
2016,ksa,242.24397468566895,E
2016,uae,73.77470779418945,E
2016,qat,25.4510440826416,E
2016,kuw,40.99080848693848,E
2016,bah,7.1768798828125,E
2016,omn,19.933191299438477,E
2017,ksa,242.121244430542,E
2017,uae,76.2204704284668,E
2017,qat,25.920942306518555,E
2017,kuw,42.68790245056152,E
2017,bah,7.547691345214844,E
2017,omn,20.512170791625977,E
2018,ksa,255.55195236206055,E
2018,uae,79.05137634277344,E
2018,qat,28.230104446411133,E
2018,kuw,45.42554473876953,E
2018,bah,8.00143051147461,E
2018,omn,20.770776748657227,E
2019,ksa,349.17759704589844,E
2019,uae,82.16569137573242,E
2019,qat,37.27313804626465,E
2019,kuw,41.10275459289551,E
2019,bah,8.321758270263672,E
2019,omn,18.319332122802734,E
2020,ksa,233.27448081970215,E
2020,uae,77.33525466918945,E
2020,qat,24.85030746459961,E
2020,kuw,43.090484619140625,E
2020,bah,8.578081130981445,E
2020,omn,21.202899932861328,E
2021,ksa,308.7091064453125,E
2021,uae,57.88638496398926,E
2021,qat,37.218238830566406,E
2021,kuw,34.039024353027344,E
2021,bah,8.903491973876953,E
2021,omn,11.991983413696289,E
2022,ksa,187.24352264404297,E
2022,uae,72.98332977294922,E
2022,qat,33.29092597961426,E
2022,kuw,42.314090728759766,E
2022,bah,9.226570129394531,E
2022,omn,12.70315933227539,E
2023,ksa,196.56884384155273,E
2023,uae,190.1556053161621,E
2023,qat,30.59438705444336,E
2023,kuw,50.48443794250488,E
2023,bah,9.612619400024414,E
2023,omn,25.74624252319336,E
2024,ksa,219.12696075439453,E
2024,uae,70.89194297790527,E
2024,qat,34.31245040893555,E
2024,kuw,52.99851417541504,E
2024,bah,9.935665130615234,E
2024,omn,27.127403259277344,E
2025,ksa,219.59678649902344,E
2025,uae,76.54052925109863,E
2025,qat,38.86967849731445,E
2025,kuw,57.08679389953613,E
2025,bah,10.316801071166992,E
2025,omn,28.763151168823242,E
2026,ksa,232.41393852233887,E
2026,uae,89.3080062866211,E
2026,qat,41.80881118774414,E
2026,kuw,57.498220443725586,E
2026,bah,10.638835906982422,E
2026,omn,30.15346908569336,E
2027,ksa,247.86109352111816,E
2027,uae,95.82146644592285,E
2027,qat,45.1221866607666,E
2027,kuw,66.06075477600098,E
2027,bah,11.019477844238281,E
2027,omn,31.993209838867188,E
2028,ksa,319.25066566467285,E
2028,uae,100.72392463684082,E
2028,qat,46.47335433959961,E
2028,kuw,70.62637329101562,E
2028,bah,11.47805404663086,E
2028,omn,34.11523628234863,E
2029,ksa,314.05332374572754,E
2029,uae,109.15392684936523,E
2029,qat,51.06494140625,E
2029,kuw,75.61107635498047,E
2029,bah,11.858068466186523,E
2029,omn,35.9582576751709,E
2030,ksa,302.84811782836914,E
2030,uae,121.55251884460449,E
2030,qat,52.74178504943848,E
2030,kuw,81.44306182861328,E
2030,bah,12.30550765991211,E
2030,omn,38.00727462768555,E
2015,ksa,234.1159782409668,F
2015,uae,69.11360549926758,F
2015,qat,23.717954635620117,F
2015,kuw,39.0295524597168,F
2015,bah,66.53519248962402,F
2015,omn,19.87840461730957,F
2016,ksa,242.24397468566895,F
2016,uae,73.77470779418945,F
2016,qat,25.4510440826416,F
2016,kuw,40.99080848693848,F
2016,bah,7.1768798828125,F
2016,omn,19.933191299438477,F
2017,ksa,242.121244430542,F
2017,uae,76.2204704284668,F
2017,qat,25.920942306518555,F
2017,kuw,42.68790245056152,F
2017,bah,7.547691345214844,F
2017,omn,20.512170791625977,F
2018,ksa,255.55195236206055,F
2018,uae,79.05137634277344,F
2018,qat,28.230104446411133,F
2018,kuw,45.42554473876953,F
2018,bah,8.00143051147461,F
2018,omn,20.770776748657227,F
2019,ksa,198.4564094543457,F
2019,uae,68.93753814697266,F
2019,qat,20.38622283935547,F
2019,kuw,39.90239334106445,F
2019,bah,7.9564208984375,F
2019,omn,16.489389419555664,F
2020,ksa,200.2729778289795,F
2020,uae,71.90921020507812,F
2020,qat,21.213346481323242,F
2020,kuw,41.514997482299805,F
2020,bah,8.136922836303711,F
2020,omn,16.927352905273438,F
2021,ksa,158.0529079437256,F
2021,uae,35.99581527709961,F
2021,qat,12.16128158569336,F
2021,kuw,25.2733154296875,F
2021,bah,8.457326889038086,F
2021,omn,11.564277648925781,F
2022,ksa,167.46912384033203,F
2022,uae,41.87664794921875,F
2022,qat,12.983251571655273,F
2022,kuw,24.87933921813965,F
2022,bah,8.777729034423828,F
2022,omn,12.206705093383789,F
2023,ksa,176.74679946899414,F
2023,uae,43.080257415771484,F
2023,qat,14.224067687988281,F
2023,kuw,26.832073211669922,F
2023,bah,9.162214279174805,F
2023,omn,17.99407958984375,F
2024,ksa,188.68965339660645,F
2024,uae,45.8306941986084,F
2024,qat,14.709531784057617,F
2024,kuw,28.792020797729492,F
2024,bah,9.482616424560547,F
2024,omn,18.69720458984375,F
2025,ksa,199.8619613647461,F
2025,uae,48.425907135009766,F
2025,qat,15.791189193725586,F
2025,kuw,30.768264770507812,F
2025,bah,9.867101669311523,F
2025,omn,16.47336196899414,F
2026,ksa,212.7234115600586,F
2026,uae,50.62892532348633,F
2026,qat,16.890867233276367,F
2026,kuw,28.978870391845703,F
2026,bah,10.187503814697266,F
2026,omn,15.801502227783203,F
2027,ksa,225.96761322021484,F
2027,uae,53.231590270996094,F
2027,qat,18.19944190979004,F
2027,kuw,28.71535301208496,F
2027,bah,10.571989059448242,F
2027,omn,13.79033088684082,F
2028,ksa,240.16605949401855,F
2028,uae,55.416730880737305,F
2028,qat,19.45760154724121,F
2028,kuw,28.005247116088867,F
2028,bah,11.020553588867188,F
2028,omn,13.131891250610352,F
2029,ksa,252.28060340881348,F
2029,uae,56.62630271911621,F
2029,qat,20.946441650390625,F
2029,kuw,26.439043045043945,F
2029,bah,11.405036926269531,F
2029,omn,12.850748062133789,F
2030,ksa,264.86231231689453,F
2030,uae,59.33480453491211,F
2030,qat,22.440610885620117,F
2030,kuw,24.256799697875977,F
2030,bah,11.853601455688477,F
2030,omn,12.557735443115234,F
2015,ksa,234.1159782409668,G
2015,uae,69.11360549926758,G
2015,qat,23.717954635620117,G
2015,kuw,39.0295524597168,G
2015,bah,66.53519248962402,G
2015,omn,19.87840461730957,G
2016,ksa,242.24397468566895,G
2016,uae,73.77470779418945,G
2016,qat,25.4510440826416,G
2016,kuw,40.99080848693848,G
2016,bah,7.1768798828125,G
2016,omn,19.933191299438477,G
2017,ksa,242.121244430542,G
2017,uae,76.2204704284668,G
2017,qat,25.920942306518555,G
2017,kuw,42.68790245056152,G
2017,bah,7.547691345214844,G
2017,omn,20.512170791625977,G
2018,ksa,255.55195236206055,G
2018,uae,79.05137634277344,G
2018,qat,28.230104446411133,G
2018,kuw,45.42554473876953,G
2018,bah,8.00143051147461,G
2018,omn,20.770776748657227,G
2019,ksa,198.81495666503906,G
2019,uae,72.28033256530762,G
2019,qat,24.579063415527344,G
2019,kuw,45.86263084411621,G
2019,bah,10.552932739257812,G
2019,omn,18.184701919555664,G
2020,ksa,200.9502658843994,G
2020,uae,74.79772567749023,G
2020,qat,28.56932830810547,G
2020,kuw,50.043731689453125,G
2020,bah,35.41644477844238,G
2020,omn,33.96557426452637,G
2021,ksa,188.31198120117188,G
2021,uae,38.8711051940918,G
2021,qat,24.189109802246094,G
2021,kuw,31.178651809692383,G
2021,bah,52.966983795166016,G
2021,omn,12.715391159057617,G
2022,ksa,193.4748249053955,G
2022,uae,72.32031059265137,G
2022,qat,45.29150581359863,G
2022,kuw,26.861221313476562,G
2022,bah,64.07862091064453,G
2022,omn,12.815168380737305,G
2023,ksa,211.4386215209961,G
2023,uae,83.06026268005371,G
2023,qat,41.751556396484375,G
2023,kuw,42.70573425292969,G
2023,bah,64.51706314086914,G
2023,omn,25.725481033325195,G
2024,ksa,228.4458770751953,G
2024,uae,91.81103515625,G
2024,qat,43.22025680541992,G
2024,kuw,47.05063056945801,G
2024,bah,64.50377464294434,G
2024,omn,27.101455688476562,G
2025,ksa,239.63671112060547,G
2025,uae,92.14300918579102,G
2025,qat,47.25370216369629,G
2025,kuw,51.087284088134766,G
2025,bah,64.88996124267578,G
2025,omn,28.74390411376953,G
2026,ksa,261.375675201416,G
2026,uae,92.92264175415039,G
2026,qat,45.244943618774414,G
2026,kuw,55.28652572631836,G
2026,bah,65.56125068664551,G
2026,omn,30.12310791015625,G
2027,ksa,280.23822593688965,G
2027,uae,93.04666519165039,G
2027,qat,48.875593185424805,G
2027,kuw,59.642404556274414,G
2027,bah,66.07721900939941,G
2027,omn,31.97266387939453,G
2028,ksa,301.8295555114746,G
2028,uae,92.8475456237793,G
2028,qat,48.77338218688965,G
2028,kuw,64.50229835510254,G
2028,bah,66.00408554077148,G
2028,omn,34.12272834777832,G
2029,ksa,323.6324520111084,G
2029,uae,93.85595512390137,G
2029,qat,49.71844291687012,G
2029,kuw,70.01825332641602,G
2029,bah,66.4496841430664,G
2029,omn,35.9301872253418,G
2030,ksa,346.7207660675049,G
2030,uae,93.40200424194336,G
2030,qat,48.240299224853516,G
2030,kuw,75.26280212402344,G
2030,bah,66.96154022216797,G
2030,omn,37.99062538146973,G
2015,ksa,234.1159782409668,H
2015,uae,69.11360549926758,H
2015,qat,23.717954635620117,H
2015,kuw,39.0295524597168,H
2015,bah,66.53519248962402,H
2015,omn,19.87840461730957,H
2016,ksa,242.24397468566895,H
2016,uae,73.77470779418945,H
2016,qat,25.4510440826416,H
2016,kuw,40.99080848693848,H
2016,bah,7.1768798828125,H
2016,omn,19.933191299438477,H
2017,ksa,242.121244430542,H
2017,uae,76.2204704284668,H
2017,qat,25.920942306518555,H
2017,kuw,42.68790245056152,H
2017,bah,7.547691345214844,H
2017,omn,20.512170791625977,H
2018,ksa,255.55195236206055,H
2018,uae,79.05137634277344,H
2018,qat,28.230104446411133,H
2018,kuw,45.42554473876953,H
2018,bah,8.00143051147461,H
2018,omn,20.770776748657227,H
2019,ksa,179.01903533935547,H
2019,uae,71.81022262573242,H
2019,qat,23.733367919921875,H
2019,kuw,44.004940032958984,H
2019,bah,10.112327575683594,H
2019,omn,17.28260040283203,H
2020,ksa,179.48697090148926,H
2020,uae,74.82102012634277,H
2020,qat,25.224294662475586,H
2020,kuw,45.69462966918945,H
2020,bah,10.368650436401367,H
2020,omn,17.854007720947266,H
2021,ksa,157.09951210021973,H
2021,uae,32.22682189941406,H
2021,qat,8.533979415893555,H
2021,kuw,25.238779067993164,H
2021,bah,10.574453353881836,H
2021,omn,11.677268981933594,H
2022,ksa,164.0464630126953,H
2022,uae,41.707902908325195,H
2022,qat,11.642860412597656,H
2022,kuw,23.39049530029297,H
2022,bah,8.997360229492188,H
2022,omn,10.802604675292969,H
2023,ksa,169.30384063720703,H
2023,uae,44.779314041137695,H
2023,qat,15.502065658569336,H
2023,kuw,25.333141326904297,H
2023,bah,9.852479934692383,H
2023,omn,16.255231857299805,H
2024,ksa,180.8723487854004,H
2024,uae,48.15155601501465,H
2024,qat,16.64275360107422,H
2024,kuw,25.765655517578125,H
2024,bah,10.226360321044922,H
2024,omn,16.912124633789062,H
2025,ksa,192.17821311950684,H
2025,uae,50.736968994140625,H
2025,qat,17.72540283203125,H
2025,kuw,27.134014129638672,H
2025,bah,10.615360260009766,H
2025,omn,15.173559188842773,H
2026,ksa,204.86314010620117,H
2026,uae,53.10958290100098,H
2026,qat,19.159046173095703,H
2026,kuw,25.853321075439453,H
2026,bah,10.869091033935547,H
2026,omn,14.557846069335938,H
2027,ksa,218.38314628601074,H
2027,uae,55.57154846191406,H
2027,qat,20.30112648010254,H
2027,kuw,24.99528694152832,H
2027,bah,11.17464828491211,H
2027,omn,13.242170333862305,H
2028,ksa,233.02324867248535,H
2028,uae,57.60514450073242,H
2028,qat,21.44978141784668,H
2028,kuw,23.698320388793945,H
2028,bah,11.37202262878418,H
2028,omn,12.565774917602539,H
2029,ksa,245.2498435974121,H
2029,uae,58.358924865722656,H
2029,qat,23.00757598876953,H
2029,kuw,20.395112991333008,H
2029,bah,11.537078857421875,H
2029,omn,10.595447540283203,H
2030,ksa,258.057373046875,H
2030,uae,60.82870674133301,H
2030,qat,24.602149963378906,H
2030,kuw,18.957237243652344,H
2030,bah,11.774276733398438,H
2030,omn,10.407646179199219,H
